,age,body_type,diet,drinks,drugs,education,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
2,35,average,anything,socially,never,graduated college university,work tech software developer reality becoming closer pointy haired manager type every day least acknowledge grew central valley working farm yes farm boy studied physical science uc berkeley never left bay area san francisco exploring bay area especially pt reyes area tech music kind smart insightful people good political discussion friend aren afraid act jack ass sometimes life short don pompous,currently person interest going conspiracy make world better place wait parking work company make vehicle sensor let find empty parking spot via iphone,working much okcupid good making people laugh either self deprecating put people ease try make people feel comfortable given usually tower good calming situation getting people working towards solution whether work friend family insightful ability recall information oscillates scarily accurate complete failure kind weird remember conversation movie quote music thing ve seen heard completely forget something someone told day,really tall asked play basketball entire life especially stranger street elevator great reminder duck walk bus bart door jam etc tried buy jacket department store china salesclerk told tall inefficient people china routinely stopped street stared escapee zoo awkward,book lot scifi verner vinge stephenson gibson herbert ve read least dune book heinlein culture series iain bank hugo award winner check psychopath test journey madness industry jon ronson pretty creepy psychopath around higher percentage business wall street know shocking movie child men star trek dark knight serenity blade runner live stanley kubrick david lynch many list tv breaking bad firefly wire soprano true blood stargate battlestar gallactica twin peak game throne walking dead invader zim big love music played trombone 10 year jazz band symphony orchestra rhapsody say fan electronica dance tech house celtic hardcore electronic latin pop hilarious artist rhapsody library 009 sound system 3ballmty animal attack attack bangle basement jaxx benny benassi bjork blade runner soundtrack boy noize chemical brother creation crystal castle crystal method daft punk dead kennedy deadmau5 dmitri shostakovich echo bunnymen fc kahuna feist fleet fox four tet gershon kingsley goose iron butterfly jefferson airplane jimi hendrix john digweed joy division julee cruise justice kismet kraftwerk lady gaga ladytron lo fidelity allstars london philharmonic orchestra marco bailey mark brown amp micky slim massive attack meat beat manifesto mgmt moody blue napalm death new order orchestre de la suisse romande oval paul oakenfold porter robinson ppk prodigy raveonettes royal philharmonic orchestra royksopp skrillex smith stooge swayzak talking head tiesto unbroken vangelis van halen velvet underground verano vitalic xx yardbird,scifi video demand book rhapsody music service,science technology used make world better place,trying wind week thinking work,star trek credit card,cuz go ex farm boy liberal nerd funny hold conversation re interested running someone stopped running year ago starting update started running recently think need inhaler know totally embarrassing suck assmar riding bike instead want hear pyrotechnic farm interested urban exploration spelunking,white,78,,computer hardware software,2012 06 30 18 49,san francisco california,doesn rsquo kid might want,straight,like dog like cat,agnosticism,,aquarius rsquo fun think,,english fluently spanish poorly okay lisp okay,single
68,49,little extra,mostly anything,socially,never,graduated college university,highly intelligent passionate unabashedly progressive man devoted two daughter recently turned five eight ready committed relationship life rich good even richer better relationship equally complex accomplished woman,ve spent adult life leading public policy political work trade union focus health care recently started consulting practice allowed broaden reach live healthier life better parent continuing devotion social economic justice,listening carefully feeling deeply loving fully keeping commitment creating community generating idea making connection,smart funny engaged say,interest many varied capture short reading range philosophy political theory political economy history poetry experimental fiction thrown musical taste diverse special depth interest knowledge jazz folk bluegrass enjoy wide range movie theater preference classic edgy offbeat well made food wine culture passion mine,daughter smiling face open heart nimble mind community colleague friend committed social justice vigorous intellectual stimulation emotional physical intimacy excellent food wine swimming warm ocean water,better parent effective work social change read listen view next go next vacation much want love loved return,daughter mother friday night usually found either quick work drink colleague moving delicious meal interesting film luxuriating long workout followed quiet time read reflect,hmmm ll think,sharp mind strong will kind heart want meet equal share rich challenging joyous life,indian white,69,100000,political government,2012 06 30 23 23,oakland california,kid,straight,like dog like cat,judaism serious,,capricorn doesn rsquo matter,,english fluently french okay german poorly,single
121,26,thin,mostly anything,socially,never,graduated master program,love travel regardless destination love make re guaranteed amazing time re along ride dance floor torn local delicacy sampled plus peruvian chap still want hat back love adventure self taught skier considering skill well questionable still propelling black run pure bravery right cyclist clarify ride bicycle motorbike something got back mean keeping fit busy schedule recently returned business trip land bike holland ve now brought back dutch riding style mean street usofa mean wrong side road looking date will scream terror one side found transport sorted nerdy trekkie heart love thing science sci fi geeky including taste men half middle eastern half irish english french german though grandmother tell little azerbaijani somewhere grew small rural english village north london latter three fact enough identify know look 26 pretty sure figured although last statement probably proved naivety follow plan everything except cook write ll never make career either fancy interesting ahead year go want leave excitement getting know previewme 200 word intelligent honest loyal attractive nerdy want hear,took break career vp large investment bank nyc concentrate start company recently re located palo alto area although quite yet zuckerberg definitely exciting time life love meet someone share,procrastination revising resume application people figuring subway city ve never standardized test understanding people really thick accent quoting poem read high school ignoring laundry urgent diffusing angry political debate friend stay friend brainstorming befriending gay men googling,best friend matt tell first time met reminded heroine fellini film art deco print course far kind descriptive height curly hair usually come first british accent sarcasm giant handbag,book always dangerous read lot loved poisonwood bible flannery connor tennessee williams add weird gothic lady oh eliot end salvatore scibona brilliant girl fell sky heidi durrow oh god ll put bridget jones diary serious note book note four hour work week perk wallflower great gatsby wheel time series mastery love life pi conversation god austerlitz kite runner alchemist etc stuff read daily wsj financial time guardian bible show say don cable might well say amish actually watch hulu netflix law order svu dr star trek file friend suit sherlock spook mi etc bunch documentary artist voodoo catholic church secret music love music will enjoy gig literally gig prefer dive bar pub big swanky nightclub indie folk definitely heart little house old school hip hop jazz something top40 mainstream depends mood movie anything except horror liked secretary lot say people think want spanked don food mexican indian italian thai soul food seafood wimp eating far inland seems strange chinese food belongs delivery container love home wouldn go chinese restaurant,grandma friend iphone blackberry good book star trek pizza,make something funny word rhyme whether exact change phone battery will last home etiquette thing shouldn said buying new car want preserve 62 beetle long possible writing thing add list whether bad good person whether old accomplish everything want early order pizza,meeting friend food fun,meet new people wish look understand wish understand pain gone obstacle overcome want know deepest fear outstanding accomplishment want know greatest joy depressing moment want know see life navigate want know world inhabit stay night thinking lot,re someone different enough interesting different never bring home grandma ve read least one book last six month genre re funny telling joke kind way family re unemployed drummer actor willingly unmedicated mental illness recently incarcerated bigoted addicted booze drug looking someone cook dinner every night housework re kind witty smart swell amuse working plus oh please star trek pretty please revision okay don necessarily star trek don humpety watching reading dreaming,white,69,,banking financial real estate,2012 06 20 01 27,palo alto california,doesn rsquo kid might want,straight,like dog like cat,christianity somewhat serious,,aries doesn rsquo matter,,english fluently arabic fluently french fluently russian poorly,single
126,50,fit,mostly anything,socially,never,graduated master program,reformed tomboy looking real man want build tree fort drive fast car learn surf,cracking whip team high strung creatives move design project forward,making team think really cracking whip,smile cheerful attitude time,magic mountain charade la traviata jalapeno,two kid bank account iphone car high heel,make thing better building urban environment kitchen,going movie staying playing board game teenage kid,really one time kind person heart,really clean neat,white,65,100000,executive management,2011 09 16 22 50,oakland california,kid,straight,like dog like cat,agnosticism serious,,pisces doesn rsquo matter,,english fluently,single
155,27,curvy,mostly vegetarian,rarely,never,graduated master program,okay got rid old profile go something new someone sorta find whole dating thing stressful really meeting someone organically anymore difficult getting people call instead texting first bit traditionalist simple thing life one good time without putting much thought favorite thing need pep blow bubble listen xavier rudd michael franti love hiking wood altho drive bit sketchy big basin favorite area far found bay area reminds wv really love peacefulness find away city fun crash event spontaneous together play fire hula hoop beginning learn fan catch fire crazy stuff don know youtube fire fan really dancing singing estatic dance trance dance make wild night haven tried travel done lot past 12 month burlington vt fort myers fl kona hawaii san francisco past month want see world hoping visit europe india next year now let talk dating looking go anywhere fast anytime soon want know person really enjoy spending time,work person singing dancing car beside traveling hula hooping exploring space camp,goofing trivia laughing believe pretty good dancing hula hooping well,got sweet move gosh,read purchased kindle car isn overflowing book although don flip page love fact now access book traveling finished reading hunger game trilogy found series powerful point hope people make decision war read see parallel read anything long plot keep attached illusion adventure reluctant messiah richard bach love paulo coelho read work chronicle narnia awesome series youth really enjoy book read come away feeling grew way reading spiritual book food book old materia medicas medical book good dirty romance really hit spot sometimes movie little miss sunshine casablanca dune yes man secretary story lotr star war little mermaid princess bride goony serenity harry potter pride prejudice practical magic beauty beast list go tv true blood daily show subergatory music listen music day mean singing long dancing big fan world fusion style music listen putamayo day group current favorite florence machine thievery corporation xavier rudd rise dar williams era enigma enya everclear blackmore night led zeppelin pink floyd soja loreena mckennitt list go love music love sharing warning prepared hit youtube video food reformed kool aid drinking kraft mac cheese eating girl love ethnic food getting try new type food long tasty favorite food indian asian vegetarian cuisine make wicked bowl chili,love book friend family dance music,world carmen sandiego,typical doesn exist lifestyle whatever feel working,don scary movie big scardy cat want know will happen will keep leaving room coming back ask question happened,alien really want meet think make laugh think make laugh looking adventure french braid,white,62,,medicine health,2012 06 26 01 51,san mateo california,doesn rsquo kid want,straight,like dog like cat,laughing,,cancer matter lot,,english fluently spanish poorly,single
163,52,fit,mostly anything,,never,graduated college university,raised santa barbara bishop learned snow ski young age love ocean well love surf scuba dive ultra runner many year well triathlete excluding ache pain surgery still plugging along something number calf passing young people still drive along big passion outdoors feel good outside sun shoulder love rain snow sun something move whenever outdoors perhaps fresh air seeing smile people got married 20 divorced 27 year later wonderful son grandpa life good lucky life almost every continent lived chile africa argentina love think someone special old fashioned love open door walk outside way raised keep value really love life precious wonderful dang cool love smile love laugh love love love dog want thank taking time look want everyone find happiness best luck,working staying active,supportive loving father communication supporting around open honest,blue eye,butch cassidy sundance kid enjoy reading biography opera broadway npr love fish sushi cold soup yummy ve known weaken ice cream,boy sun moon earth food h2o,dog wont talk want tell,going friend dinner watching good movie home relaxing simple,ll really think one,fit body sharp mind optimistic outlook warm smile genuine kindness easy talk totally charged nature,white,70,,,2012 06 30 14 02,mill valley california,kid doesn rsquo want,straight,dog like cat,serious,,aries rsquo fun think,,english fluently spanish okay,single
171,31,curvy,mostly anything,often,sometimes,graduated college university,think love food anything small eat nearly much want puzzle video game sometimes lay listen music hour weird tattoo anime silly violent bloody movie make smile walking dead rule love draw paint don much lately love collaborate something,always looking change,beer pong making huge mess room drawing painting guitar hero super stardust hd going oblivion drawing perfect breast,wear huge thick glass cuz blind bat oh godzilla tattoo,dream reading book someday hard time concentrating paragraph look shaded rectangle need find right content read genre film favor movie humorous weird content giant monster want see love sushi large tattoo meat rare bloody straight raw korean yukhoe love eat ton appetizer drink,glass sushi pizza closest friend don talk time will whenever really need vice versa little purple star wallet ll know know bacon,next time eat doz oyster half shell,action subject change,know way many creative way smoke pot,let hang friend whatever wine dine buy 40 take park,asian,61,,executive management,2012 03 09 17 21,san francisco california,doesn rsquo want kid,straight,like dog,buddhism serious,,leo rsquo fun think,,english,single
173,44,average,,socially,never,graduated high school,love art music artist love music want go dancing bar hopping meet friend now kid adult got freedom back,whatever feel varies,art cooking love dancing lot club hopping,eye sarcastic sense humor,list long thing bbc documentory planet everything made far,music laughter kid dancing cooking oh dirty martini,oh whole lot think much stress bad thing wonder thing,club dancing alone glass ball,much common sense logic tend clash way life,bored berkeley sf need dance partner mail will see take,hispanic latin,61,,rather say,2012 06 17 13 13,berkeley california,kid doesn rsquo want,straight,cat,,,capricorn doesn rsquo matter,drinking,english fluently spanish fluently,single
175,50,fit,mostly anything,often,never,graduated master program,successful men smart woman one men one woman chemistry 2nd important element relationship obviously need meet make determination connect two level possibility second date stuff will come meeting find enough compatibility proceed,working human resource manager trying make difference people life,listening actually said analytical always trying solve logistical problem simplify thing,big green eye ve heard grade school ve told seem really serious first look actually easy going passionate side blessing curse know,movie shawshank redemption count monte cristo cousin vinny book life pi red tent anything edgar allen poe charles dickens music kind live recorded love dance help move music food amp wine home cooked resturaunt doesn matter love appreciation culinary skill even mistake learn,time close family amp friend hot long shower camping sailing enough sleep dream truth best anyones ability serenity moderate heavy baggage mine others come exercise activity,love say trying thinking anything moment try think outside work try stay moment enjoy life,cocktail dinner friend play golf hitting ball traveling reading haning home chilling think every evening friday evening,spell save life thankful spell check won even talk grammer self explanitory,nice intellegent successful man want share best part life,white,62,80000,executive management,2012 03 12 12 50,mill valley california,doesn rsquo want kid,straight,like dog like cat,serious,,scorpio rsquo fun think,,english,single
190,26,full figured,mostly anything,socially,never,graduated master program,ahh okcupid poor man match meet hola marina teacher know le let nitty gritty past year spent many year uc davis add page passport became personal deputy commissioner marriage day officiated marriage roommate now husband won poker tournament care challenge donated hair lock love bridesmaid adopted cat competed weekly pub trivia night friend colleague oh much loving life right now always lookout next adventure best memory one happened upon others 100 planned kind person like general game plan definitely type personality pretty earth relaxed gal come thing life feel comfortable sweat uggs cocktail dress wedge picture profile order location belmont belmont bolivia china la san luis obispo costa rica japan ireland chicago baller drive hybrid say cookie batter cookie dough will always choose chocolate vanilla,teach high school love,spanish grammar trivia board game explaining thing packing last minute working pressure sleeping moving vehicle,ask student ll probably give honest straightforward answer first noticed people notice physically smile glass eye eyelash badunkadunk usually along anyone definitely people person sorta come job quick witted ness inquisitiveness confidence hearty chuckle,love item way many list category book life pi help hunger game movie robin hood men tights elf matrix matrix tv arrested development big bang theory met mother music jason mraz john mayer adele food gonna lie little bit picky food time will try almost anything love ethnic food mexican italian thai sushi good ol american long delicious care totally opinion best food world come stand side road people minivan someone home,mom pretty much best mom whole world geriatric cat travel mantra travel always say yes perfect pen grade paper garlic huge fan onion generally replace garlic cup onion cup garlic right really really cold water always least water bottle reusable one fridge time,bucket list learning drive stick shift adopting dog competing game show irrationally afraid bee student try add facebook going travel next language,anything everything going dinner epic board game night chaperoning school dance relaxing home,still play sega genesis say sonic hedgehog connection deep real nerdy enough,want find someone compatible dog cat fab know difference re love think beat game boggle word friend bring feel going adventure yes please will eat lemon orange skittle think along last importantly honest funny inquisitive passionate think teacher sexy perfect let go thai food drink go bowling even better email fabulous suggestion promise ll try bring grading along date,white,65,60000,education academia,2012 07 01 06 44,belmont california,doesn rsquo kid,straight,like dog cat,agnosticism laughing,,gemini rsquo fun think,,english fluently spanish fluently italian poorly,single
